new_sample_name	old_sample_name
Aug_P06_0024_50_200_ni_hi	MP4_MI_34.V4Lf_bc2.V4LrZ_bcr2.V4
Aug_P06_0024_10_50_nh_hi	MP4_MI_54.V4Lf_bc3.V4LrZ_bcr3.V4
Aug_P06_0024_50_200_nh_hi	MP4_MI_52.V4Lf_bc4.V4LrZ_bcr4.V4
Aug_P06_0500_0.4_3_ni_hi	MP4_NP_54.V4Lf_bc5.V4LrZ_bcr5.V4
Aug_P06_0500_3_10_ni_hi	MP4_NP_50.V4Lf_bc6.V4LrZ_bcr7.V4
Aug_P06_0500_10_50_ni_hi	MP4_MI_48.V4Lf_bc7.V4LrZ_bcr6.V4
Aug_P06_0500_50_200_ni_hi	MP4_MI_46.V4Lf_bc8.V4LrZ_bcr8.V4
Aug_P06_1000_0.4_3_ni_hi	MP4_NP_46.V4Lf_bc9.V4LrZ_bcr9.V4
Aug_P06_1000_3_10_ni_hi	MP4_NP_44.V4Lf_bc10.V4LrZ_bcr11.V4
Aug_P06_1000_10_50_ni_hi	MP4_MI_42.V4Lf_bc11.V4LrZ_bcr10.V4
Aug_P06_1000_50_200_ni_hi	MP4_MI_40.V4Lf_bc12.V4LrZ_bcr12.V4
Aug_P07_0001_0.4_3_ni_hi	MP4_NP_64.V4Lf_bc13.V4LrZ_bcr13.V4
Aug_P07_0001_3_10_ni_hi	MP4_NP_58.V4Lf_bc14.V4LrZ_bcr14.V4
Aug_P07_0001_10_50_ni_hi	MP4_MI_60.V4Lf_bc15.V4LrZ_bcr15.V4
Aug_P07_0001_50_200_ni_hi	MP4_MI_58.V4Lf_bc16.V4LrZ_bcr16.V4
Aug_P07_0025_0.4_3_ni_hi	MP4_NP_72.V4Lf_bc6.V4LrZ_bcr7.V4
Aug_P07_0025_3_10_ni_hi	MP4_NP_66.V4Lf_bc18.V4LrZ_bcr18.V4
Aug_P07_0025_10_50_ni_hi	MP4_MI_66.V4Lf_bc19.V4LrZ_bcr19.V4
Aug_P07_0025_50_200_ni_hi	MP4_MI_64.V4Lf_bc20.V4LrZ_bcr20.V4
Aug_P07_0025_10_50_nh_hi	MP4_MI_84.V4Lf_bc7.V4LrZ_bcr6.V4
Aug_P07_0025_50_200_nh_hi	MP4_MI_81.V4Lf_bc8.V4LrZ_bcr8.V4
Aug_P07_0500_0.4_3_ni_hi	MP4_NP_86.V4Lf_bc9.V4LrZ_bcr9.V4
Aug_P07_0500_3_10_ni_hi	MP4_NP_82.V4Lf_bc10.V4LrZ_bcr11.V4
Aug_P07_0500_10_50_ni_hi	MP4_MI_78.V4Lf_bc11.V4LrZ_bcr10.V4
Aug_P07_0500_50_200_ni_hi	MP4_MI_76.V4Lf_bc12.V4LrZ_bcr12.V4
Aug_P07_1000_0.4_3_ni_hi	MP4_NP_80.V4Lf_bc13.V4LrZ_bcr13.V4
Aug_P07_1000_3_10_ni_hi	MP4_NP_74.V4Lf_bc14.V4LrZ_bcr14.V4
Aug_P07_1000_10_50_ni_hi	MP4_MI_72.V4Lf_bc15.V4LrZ_bcr15.V4
Aug_P07_1000_50_200_ni_hi	MP4_MI_70.V4Lf_bc16.V4LrZ_bcr16.V4
Nov_N02_0020_0.4_3_ni_hi	MP5_NP_10.V4Lf_bc1.V4LrZ_bcr1.V4
Nov_N02_0020_3_10_ni_hi	MP5_NP_7.V4Lf_bc2.V4LrZ_bcr2.V4
Nov_N02_0020_10_50_ni_hi	MP5_MI_12.V4Lf_bc3.V4LrZ_bcr3.V4
Nov_N02_0020_50_200_ni_hi	MP5_MI_11.V4Lf_bc4.V4LrZ_bcr4.V4
Nov_N02_0020_10_50_nh_hi	MP5_MI_6.V4Lf_bc5.V4LrZ_bcr5.V4
Nov_N02_0020_50_200_nh_hi	MP5_MI_5.V4Lf_bc6.V4LrZ_bcr7.V4
Nov_N03_0020_0.4_3_ni_hi	MP5_NP_35.V4Lf_bc7.V4LrZ_bcr6.V4
Nov_N03_0020_3_10_ni_hi	MP5_NP_29.V4Lf_bc8.V4LrZ_bcr8.V4
Nov_N03_0020_10_50_ni_hi	MP5_MI_30.V4Lf_bc9.V4LrZ_bcr9.V4
Nov_N03_0020_50_200_ni_hi	MP5_MI_29.V4Lf_bc10.V4LrZ_bcr10.V4
Nov_N03_0020_10_50_nh_hi	MP5_MI_18.V4Lf_bc11.V4LrZ_bcr11.V4
Nov_N03_0020_50_200_nh_hi	MP5_MI_17.V4Lf_bc12.V4LrZ_bcr12.V4
Nov_N03_0300_0.4_3_ni_hi	MP5_NP_22.V4Lf_bc13.V4LrZ_bcr13.V4
Nov_N03_0300_3_10_ni_hi	MP5_NP_16.V4Lf_bc14.V4LrZ_bcr14.V4
Nov_N03_0300_10_50_ni_hi	MP5_MI_24.V4Lf_bc15.V4LrZ_bcr15.V4
Nov_N03_0300_50_200_ni_hi	MP5_MI_23.V4Lf_bc16.V4LrZ_bcr16.V4
Nov_N04_0020_0.4_3_ni_hi	MP5_NP_59.V4Lf_bc7.V4LrZ_bcr6.V4
Nov_N04_0020_3_10_ni_hi	MP5_NP_53.V4Lf_bc18.V4LrZ_bcr18.V4
Nov_N04_0020_10_50_ni_hi	MP5_MI_42.V4Lf_bc19.V4LrZ_bcr19.V4
Nov_N04_0020_50_200_ni_hi	MP5_MI_41.V4Lf_bc20.V4LrZ_bcr20.V4
Nov_N04_1000_0.4_3_ni_hi	MP5_NP_47.V4Lf_bc8.V4LrZ_bcr8.V4
Nov_N04_1000_3_10_ni_hi	MP5_NP_41.V4Lf_bc18.V4LrZ_bcr18.V4
Nov_N04_1000_10_50_ni_hi	MP5_MI_36.V4Lf_bc19.V4LrZ_bcr19.V4
Nov_N04_1000_50_200_ni_hi	MP5_MI_35.V4Lf_bc20.V4LrZ_bcr20.V4
Aug_P07_0025_50_200_nh_60_hi	MP4_MI_22.V4Lf_bc10.V4LrZ_bcr11.V4
Aug_P07_0025_3_10_ni_60_hi	MP4_NP_66.V4Lf_bc18.V4LrZ_bcr18.V4
Aug_P07_0500_0.4_3_ex_hi	MP4_NP_88.V4Lf_bc9.V4LrZ_bcr9.V4
Aug_P07_1000_3_10_ex_hi	MP4_NP_76.V4Lf_bc14.V4LrZ_bcr14.V4
Aug_P06_0024_0.4_3_ex_hi	MP4_NP_40.V4Lf_bc19.V4LrZ_bcr19.V4
Aug_P07_0025_3_10_bc_hi	MP4_NP_66.V4Lf_bc16.V4LrZ_bcr16.V4
Aug_P06_0024_3_10_ex_hi	MP4_NP_36.V4Lf_bc20.V4LrZ_bcr20.V4
Aug_P06_0024_50_200_bc_hi	MP4_MI_34.V4Lf_bc13.V4LrZ_bcr13.V4
Aug_P06_0001_0.4_3_li_hi	MP4_NP_30.V4Lf_bc15.V4LrZ_bcr15.V4
Aug_P06_0001_0.4_3_ex_hi	MP4_NP_32.V4Lf_bc12.V4LrZ_bcr12.V4
Jan_B16_0001_0.4_3_ni_mi	MP1_15miseq
Jan_B16_0001_3_180_ni_mi	MP1_47miseq
Jan_B16_1000_0.4_3_ni_mi	MP1_3miseq
Jan_B08_0001_3_180_ni_mi	MP1_51miseq
Jan_B08_0500_3_180_ni_mi	MP1_59miseq
Jan_B08_1000_0.4_3_ni_mi	MP1_31miseq
Mar_M04_0001_0.4_3_ni_mi	MP2_4miseq
Mar_M04_0020_0.4_3_ni_mi	MP2_17miseq
May_P01_0020_0.4_3_ni_mi	MP3_NP_7miseq
May_P03_0001_0.4_3_ni_mi	MP3_NP_55miseq
May_P03_0015_0.4_3_ni_mi	MP3_NP_87miseq
May_P03_0447_0.4_3_ni_mi	MP3_NP_63miseq
May_P04_0001_0.4_3_ni_mi	MP3_NP_118miseq
May_P04_0001_3_10_ni_mi	MP3_NP_114miseq
May_P04_0500_0.4_3_ni_mi	MP3_NP_111miseq
May_P04_0500_3_10_ni_mi	MP3_NP_107miseq
May_P04_1000_3_10_ni_mi	MP3_NP_99miseq
Aug_P05_0001_50_200_ni_mi	MP4_MI_3miseq
Aug_P05_0213_50_200_ni_mi	MP4_MI_16miseq
Aug_P06_0001_0.4_3_ni_mi	MP4_NP_30miseq
Aug_P06_0024_3_10_ni_mi	MP4_NP_34miseq
Aug_P06_0024_0.4_3_ni_mi	MP4_NP_38miseq
Aug_P06_0500_10_50_ni_mi	MP4_MI_48miseq
Aug_P06_0024_50_200_nh_mi	MP4_MI_52miseq
Aug_P07_0025_10_50_ni_mi	MP4_MI_66miseq
Aug_P07_0025_3_10_ni_mi	MP4_NP_66miseq
Aug_P07_0500_0.4_3_ni_mi	MP4_NP_86miseq
Aug_P07_1000_3_10_ni_mi	MP4_NP_74miseq
Nov_N02_0020_50_200_ni_mi	MP5_MI_11miseq
Nov_N03_0020_50_200_ni_mi	MP5_MI_29miseq
Nov_N03_0020_0.4_3_ni_mi	MP5_NP_35miseq
Nov_N03_0020_10_50_nh_mi	MP5_MI_18miseq
Nov_N04_0020_0.4_3_ni_mi	MP5_NP_59miseq
Nov_N04_1000_10_50_ni_mi	MP5_MI_36miseq
